1.000000000000000048e-04 2.753000000000000000e+03 2.459593462342913313e+02
1.291549665014884106e-04 2.779000000000000000e+03 1.962549362436522244e+02
1.668100537200059119e-04 2.805000000000000000e+03 1.989572818471341975e+02
2.154434690031884489e-04 2.819000000000000000e+03 2.006888138387388949e+02
2.782559402207125773e-04 2.841000000000000000e+03 1.743559577416269519e+02
3.593813663804625697e-04 2.927000000000000000e+03 1.905885620912230820e+02
4.641588833612777317e-04 2.975000000000000000e+03 1.797887649437528239e+02
5.994842503189408769e-04 3.101000000000000000e+03 1.326649916142160066e+02
7.742636826811269846e-04 3.219000000000000000e+03 1.275774274705364917e+02
1.000000000000000021e-03 3.357000000000000000e+03 2.080000000000000000e+02
1.250000000000000026e-03 3.645000000000000000e+03 1.576832267554162001e+02
1.500000000000000031e-03 3.935000000000000000e+03 1.394417441084268603e+02
1.750000000000000036e-03 4.291000000000000000e+03 1.330413469565007176e+02
2.000000000000000042e-03 4.741000000000000000e+03 1.113552872566004339e+02
2.249999999999999830e-03 5.333000000000000000e+03 1.121427661510094964e+02
2.500000000000000052e-03 6.071000000000000000e+03 1.004987562112088995e+02
2.749999999999999840e-03 7.049000000000000000e+03 8.059776671843954432e+01
3.000000000000000062e-03 8.325000000000000000e+03 6.800000000000000000e+01
3.099999999999999891e-03 8.929000000000000000e+03 4.915282290977803115e+01
3.200000000000000153e-03 9.575000000000000000e+03 4.820788317277580148e+01
3.299999999999999982e-03 1.021900000000000000e+04 3.841874542459709119e+01
3.399999999999999811e-03 1.090300000000000000e+04 1.400000000000000000e+01
3.500000000000000073e-03 1.156700000000000000e+04 4.737087712930804173e+01
3.749999999999999861e-03 1.302100000000000000e+04 4.000000000000000000e+01
4.000000000000000083e-03 1.426700000000000000e+04 4.737087712930804173e+01
5.000000000000000104e-03 1.740300000000000000e+04 1.400000000000000000e+01
7.499999999999999722e-03 2.078900000000000000e+04 3.249615361854384332e+01
1.000000000000000021e-02 2.220700000000000000e+04 2.374868417407583365e+01
